,CustomerID,Number Of Purchases,Days From Last Purchase,Days From First Purchase,Total Revenue,Cluster Category
100,13993.0,900,42.0,330.0,3466,2
101,14946.0,22,14.0,14.0,100,3
102,17746.0,29,240.0,240.0,110,0
103,16710.0,1836,19.0,368.0,2483,2
104,17519.0,1236,17.0,368.0,1844,2
105,15171.0,290,331.0,331.0,1289,0
106,16136.0,440,59.0,277.0,709,2
107,16722.0,5001,17.0,368.0,4730,2
108,16320.0,732,172.0,213.0,1038,1
109,14206.0,276,239.0,239.0,328,0
110,17295.0,294,28.0,64.0,556,3
111,15236.0,269,298.0,298.0,321,0
112,14188.0,1162,30.0,310.0,2054,2
113,13978.0,315,14.0,45.0,196,3
114,12641.0,72,115.0,115.0,185,1
115,14748.0,1223,29.0,368.0,1415,2
116,15958.0,33,74.0,74.0,104,3
117,14789.0,116,28.0,28.0,197,3
118,12602.0,162,58.0,58.0,153,3
119,12547.0,134,197.0,280.0,207,0
120,17162.0,1001,28.0,305.0,1715,2
121,17147.0,882,22.0,311.0,1714,2
122,14713.0,1615,9.0,365.0,2666,2
123,13357.0,322,257.0,257.0,609,0
124,15657.0,24,22.0,22.0,30,3
125,12764.0,386,316.0,316.0,1693,0
126,14885.0,724,131.0,131.0,765,1
127,17004.0,819,46.0,92.0,1412,3
128,16117.0,130,189.0,189.0,232,1
129,13062.0,343,191.0,191.0,346,1
130,15594.0,983,15.0,234.0,1771,1
131,13217.0,262,122.0,156.0,533,1
132,13588.0,2606,15.0,255.0,2478,2
133,15374.0,126,128.0,128.0,168,1
134,14528.0,278,37.0,37.0,364,3
135,15858.0,1167,15.0,367.0,1438,2
136,14557.0,510,85.0,85.0,788,3
137,16323.0,50,196.0,196.0,207,1
138,15511.0,271,11.0,85.0,909,3
139,17771.0,287,56.0,323.0,245,2
140,12844.0,125,29.0,130.0,325,3
141,16982.0,182,60.0,60.0,384,3
142,16012.0,799,35.0,155.0,1415,1
143,15830.0,415,37.0,37.0,576,3
144,14862.0,772,25.0,148.0,841,1
145,16647.0,146,169.0,204.0,214,1
146,17767.0,128,15.0,15.0,271,3
147,17431.0,292,313.0,313.0,403,0
148,16079.0,864,16.0,40.0,1352,3
149,14465.0,405,246.0,302.0,1058,0
150,12574.0,61,315.0,315.0,218,0
151,13900.0,430,183.0,262.0,740,0
152,15660.0,1050,25.0,365.0,1600,2
153,18104.0,362,37.0,37.0,754,3
154,15410.0,1200,84.0,261.0,3450,1
155,16893.0,62,366.0,366.0,145,0
156,15276.0,64,66.0,66.0,135,3
157,15216.0,28,87.0,87.0,96,3
158,13786.0,136,367.0,367.0,230,0
159,14129.0,592,1.0,260.0,1123,2
160,14656.0,120,169.0,283.0,291,0
161,12957.0,2549,9.0,339.0,4017,2
162,12823.0,230,74.0,296.0,1759,2
163,15462.0,172,94.0,187.0,234,1
164,17323.0,776,15.0,292.0,921,2
165,15388.0,88,270.0,270.0,140,0
166,18257.0,1041,39.0,296.0,2337,2
167,16620.0,88,3.0,260.0,178,2
168,13417.0,162,4.0,205.0,640,1
169,14229.0,610,51.0,333.0,1547,2
170,12755.0,1491,280.0,365.0,3811,0
171,14647.0,95,201.0,201.0,243,1
172,13979.0,639,73.0,73.0,869,3
173,16855.0,164,23.0,43.0,328,3
174,13208.0,804,58.0,309.0,1223,2
175,17878.0,401,43.0,43.0,379,3
176,14226.0,1308,28.0,269.0,2232,2
177,18097.0,1686,7.0,354.0,2697,2
178,13720.0,501,116.0,254.0,799,1
179,14641.0,90,21.0,21.0,110,3
180,15107.0,169,311.0,372.0,319,0
181,13568.0,70,173.0,173.0,192,1
182,17800.0,736,37.0,334.0,1199,2
183,14346.0,605,120.0,297.0,1021,2
184,12561.0,177,302.0,302.0,238,0
185,15364.0,493,95.0,254.0,913,1
186,14352.0,538,157.0,273.0,1078,1
187,14264.0,70,154.0,245.0,333,1
188,17301.0,149,21.0,21.0,197,3
189,13985.0,3445,4.0,264.0,7060,2
190,16010.0,210,245.0,362.0,407,0
191,17653.0,1409,36.0,120.0,1207,3
192,14184.0,127,66.0,66.0,452,3
193,14655.0,1089,8.0,222.0,1932,1
194,13805.0,1900,52.0,129.0,924,3
195,13389.0,429,11.0,232.0,797,1
196,16807.0,778,142.0,270.0,1121,1
197,18041.0,3819,11.0,372.0,4183,2
198,14288.0,188,213.0,213.0,426,0
199,13858.0,75,57.0,57.0,216,3
200,15095.0,1079,103.0,203.0,1370,1
201,12937.0,1007,15.0,267.0,1504,2
202,12556.0,358,50.0,151.0,603,1
203,13499.0,1365,17.0,269.0,1159,2
204,18042.0,33,53.0,53.0,165,3
205,16033.0,3539,5.0,369.0,8816,2
206,15419.0,230,24.0,24.0,135,3
207,17325.0,60,280.0,280.0,96,0
208,17235.0,224,25.0,372.0,550,2
209,15213.0,272,318.0,329.0,328,0
210,17500.0,17,17.0,29.0,1138,3
211,16179.0,99,60.0,60.0,215,3
212,16553.0,4600,163.0,360.0,5719,0
213,13232.0,778,12.0,243.0,1357,2
214,15953.0,892,15.0,369.0,1659,2
215,15540.0,200,11.0,11.0,213,3
216,16679.0,29,366.0,366.0,129,0
217,13493.0,380,275.0,287.0,618,0
218,14393.0,13,218.0,218.0,67,0
219,15411.0,530,26.0,182.0,1358,1
220,12734.0,88,352.0,352.0,110,0
221,12798.0,5256,10.0,170.0,6977,1
222,17997.0,2298,74.0,164.0,1970,1
223,15720.0,281,24.0,24.0,598,3
224,15885.0,111,92.0,309.0,379,2
225,15812.0,922,107.0,317.0,1801,2
226,13682.0,10,187.0,187.0,59,1
227,15485.0,1306,30.0,373.0,2575,2
228,16517.0,96,277.0,277.0,162,0
229,17576.0,1994,8.0,365.0,3622,2
230,12995.0,108,85.0,85.0,211,3
231,12970.0,310,7.0,322.0,452,2
232,16036.0,716,87.0,263.0,758,1
233,18144.0,1343,7.0,373.0,2888,2
234,14116.0,707,19.0,121.0,1382,3
235,13092.0,279,70.0,359.0,477,2
236,13631.0,467,99.0,267.0,3070,1
237,15380.0,376,8.0,365.0,1690,2
238,16984.0,2423,88.0,130.0,4481,1
239,14873.0,168,210.0,210.0,519,0
240,17757.0,3320,1.0,372.0,5605,2
241,15228.0,2255,66.0,294.0,3386,2
242,15670.0,91,296.0,296.0,173,0
243,13055.0,894,78.0,213.0,1214,1
244,13146.0,154,26.0,26.0,228,3
245,17274.0,79,35.0,35.0,111,3
246,16327.0,2571,14.0,369.0,3844,2
247,16927.0,993,115.0,361.0,543,2
248,14540.0,421,9.0,309.0,996,2
249,13408.0,16232,1.0,373.0,28117,2
250,17828.0,667,22.0,184.0,1820,1
251,15243.0,185,74.0,74.0,316,3
252,17492.0,155,248.0,248.0,374,0
253,17838.0,1879,26.0,372.0,2779,2
254,12890.0,259,24.0,24.0,380,3
255,13893.0,190,297.0,297.0,821,0
256,16321.0,135,72.0,323.0,373,2
257,14924.0,64,245.0,245.0,310,0
258,15291.0,2103,25.0,373.0,4668,2
259,16505.0,576,31.0,31.0,777,3
260,16667.0,237,68.0,284.0,570,2
261,12838.0,359,33.0,373.0,683,2
262,12967.0,438,358.0,371.0,1660,0
263,12953.0,84,9.0,9.0,329,3
264,14145.0,756,46.0,217.0,3742,1
265,16230.0,365,189.0,220.0,542,1
266,17059.0,1855,29.0,369.0,3095,2
267,13755.0,1264,3.0,63.0,2161,3
268,16824.0,236,15.0,164.0,460,1
269,14566.0,800,110.0,110.0,1432,1
270,15289.0,1008,29.0,249.0,939,2
271,15963.0,298,19.0,45.0,470,3
272,16157.0,347,15.0,72.0,656,3
273,16359.0,1183,7.0,331.0,1750,2
274,15978.0,888,77.0,77.0,1098,3
275,12778.0,825,19.0,312.0,822,2
276,13510.0,1386,1.0,183.0,1791,1
277,17277.0,430,227.0,322.0,1065,0
278,17679.0,729,52.0,85.0,1992,3
279,12789.0,4,65.0,65.0,91,3
280,12504.0,90,18.0,30.0,482,3
281,12360.0,1165,52.0,200.0,2662,1
282,16959.0,49,87.0,87.0,117,3
283,12540.0,6685,19.0,361.0,13400,2
284,14174.0,94,33.0,33.0,134,3
285,17768.0,1186,8.0,166.0,2273,1
286,13551.0,12,319.0,319.0,91,0
287,17231.0,1742,12.0,361.0,3174,2
288,12512.0,99,66.0,66.0,138,3
289,16040.0,684,65.0,268.0,1313,2
290,15046.0,3451,9.0,338.0,5213,2
291,15839.0,675,33.0,148.0,1048,1
292,15757.0,491,65.0,217.0,714,1
293,15221.0,43,366.0,366.0,403,0
294,13599.0,3294,1.0,366.0,5153,2
295,17138.0,126,275.0,275.0,380,0
296,13494.0,162,311.0,311.0,316,0
297,15780.0,220,183.0,357.0,475,0
298,14976.0,234,57.0,326.0,790,2
299,13573.0,303,50.0,253.0,294,1
300,17097.0,459,2.0,365.0,954,2
301,18222.0,335,92.0,92.0,443,3
302,13245.0,125,50.0,50.0,430,3
303,17265.0,394,138.0,180.0,562,1
304,14804.0,121,8.0,8.0,353,3
305,12395.0,2118,19.0,371.0,3018,2
306,15793.0,553,14.0,268.0,965,2
307,15608.0,714,28.0,120.0,1093,3
308,16103.0,558,7.0,233.0,1429,1
309,12364.0,1506,7.0,112.0,1313,3
310,17166.0,78,38.0,203.0,206,1
311,12878.0,547,236.0,266.0,854,0
312,16539.0,477,2.0,373.0,1388,2
313,18229.0,2488,11.0,373.0,7276,2
314,14355.0,92,365.0,365.0,174,0
315,18068.0,6,289.0,289.0,101,0
316,14451.0,389,60.0,194.0,662,1
317,17134.0,102,106.0,264.0,424,1
318,15258.0,142,168.0,217.0,623,1
319,14636.0,241,36.0,268.0,609,2
320,13954.0,150,1.0,70.0,439,3
321,17867.0,542,30.0,288.0,1197,2
322,13623.0,294,30.0,297.0,747,2
323,17272.0,1778,42.0,262.0,2148,2
324,16788.0,311,123.0,254.0,597,1
325,18156.0,301,12.0,369.0,734,2
326,15019.0,159,266.0,266.0,265,0
327,16098.0,613,87.0,373.0,2005,2
328,16398.0,758,154.0,253.0,1705,1
329,14404.0,839,33.0,369.0,1474,2
330,15360.0,223,39.0,39.0,427,3
331,14995.0,103,38.0,280.0,233,2
332,15315.0,862,64.0,116.0,570,3
333,18245.0,1788,7.0,355.0,2567,2
334,18180.0,1721,4.0,142.0,1843,3
335,18008.0,1581,70.0,318.0,2116,2
336,13505.0,2486,72.0,232.0,4393,1
337,14499.0,501,26.0,278.0,815,2
338,15246.0,247,238.0,358.0,514,0
339,15646.0,394,157.0,372.0,447,2
340,13973.0,109,287.0,287.0,264,0
341,13137.0,2226,10.0,308.0,3650,2
342,12551.0,100,357.0,357.0,168,0
343,14373.0,17,358.0,358.0,76,0
344,17630.0,158,169.0,232.0,503,1
345,15916.0,757,16.0,366.0,1528,2
346,14652.0,53,77.0,77.0,114,3
347,16625.0,164,274.0,274.0,333,0
348,15624.0,357,116.0,256.0,588,1
349,17793.0,232,25.0,25.0,323,3
350,15256.0,55,148.0,148.0,98,1
351,17986.0,10,56.0,56.0,20,3
352,17155.0,242,17.0,177.0,251,1
353,15802.0,1,142.0,142.0,451,1
354,16440.0,2018,7.0,214.0,3640,1
355,13350.0,287,16.0,79.0,979,3
356,14601.0,168,10.0,10.0,213,3
357,16121.0,586,57.0,215.0,867,1
358,17608.0,232,33.0,33.0,193,3
359,15307.0,37,95.0,95.0,205,3
360,16034.0,242,196.0,332.0,437,0
361,16938.0,2540,8.0,308.0,2736,2
362,13351.0,117,66.0,66.0,373,3
363,13904.0,332,37.0,294.0,332,2
364,16322.0,231,1.0,36.0,326,3
365,14198.0,290,18.0,239.0,701,1
366,13356.0,325,80.0,80.0,768,3
367,15500.0,572,8.0,81.0,1131,3
368,16818.0,2164,10.0,205.0,3349,1
369,16623.0,39,245.0,245.0,129,0
370,17738.0,1029,19.0,282.0,1879,2
371,16419.0,436,112.0,311.0,972,2
372,16351.0,90,332.0,332.0,153,0
373,17797.0,498,22.0,182.0,780,1
374,16762.0,618,19.0,144.0,1501,1
375,17330.0,120,22.0,67.0,363,3
376,12818.0,929,261.0,261.0,1542,0
377,16839.0,8975,8.0,369.0,16594,2
378,18139.0,5557,17.0,18.0,8438,3
379,18087.0,3907,98.0,290.0,4055,2
380,18093.0,1392,93.0,302.0,2106,2
381,12648.0,160,154.0,154.0,318,1
382,13938.0,70,35.0,35.0,71,3
383,12748.0,25747,0.0,373.0,33719,2
384,17243.0,3370,1.0,369.0,8676,2
385,12521.0,309,142.0,142.0,599,1
386,13227.0,99,201.0,201.0,257,1
387,14886.0,160,252.0,252.0,364,0
388,14196.0,142,106.0,106.0,335,3
389,17536.0,6,177.0,177.0,76,1
390,16830.0,264,38.0,38.0,325,3
391,15857.0,308,18.0,18.0,297,3
392,16960.0,304,38.0,252.0,507,2
393,15585.0,320,176.0,176.0,455,1
394,13098.0,15968,1.0,317.0,28882,2
395,12947.0,1165,143.0,373.0,1603,2
396,12950.0,1380,2.0,24.0,1843,3
397,17760.0,239,21.0,373.0,287,2
398,15535.0,143,173.0,327.0,536,0
399,13771.0,1477,64.0,247.0,2634,1
400,13460.0,286,29.0,49.0,183,3
401,13488.0,4518,17.0,367.0,8968,2
402,15316.0,100,326.0,326.0,165,0
403,17695.0,779,131.0,171.0,765,1
404,15022.0,543,11.0,47.0,905,3
405,17972.0,37,241.0,241.0,136,0
406,13673.0,119,18.0,32.0,396,3
407,12991.0,405,23.0,112.0,503,3
408,17624.0,554,14.0,218.0,843,1
409,18260.0,1478,172.0,358.0,2643,0
410,15838.0,18368,11.0,367.0,33643,2
411,16729.0,5783,38.0,241.0,7239,1
412,12645.0,1084,33.0,316.0,1775,2
413,15139.0,208,239.0,336.0,178,0
414,13516.0,985,21.0,238.0,1389,1
415,12728.0,419,71.0,332.0,836,2
416,15265.0,612,151.0,235.0,1506,1
417,13233.0,1004,74.0,336.0,605,2
418,16147.0,246,133.0,133.0,375,1
419,15565.0,60,50.0,70.0,173,3
420,16721.0,172,262.0,262.0,292,0
421,13539.0,320,85.0,309.0,631,2
422,18082.0,621,25.0,25.0,703,3
423,12640.0,311,23.0,81.0,1174,3
424,13642.0,173,215.0,215.0,354,0
425,12616.0,284,95.0,297.0,713,2
426,12857.0,343,210.0,302.0,1106,0
427,16753.0,189,58.0,58.0,223,3
428,17081.0,78,25.0,46.0,290,3
429,18270.0,101,38.0,266.0,283,2
430,16847.0,78,43.0,43.0,193,3
431,14985.0,260,198.0,358.0,296,0
432,12646.0,897,4.0,49.0,1346,3
433,15381.0,171,213.0,268.0,596,0
434,16470.0,531,51.0,358.0,762,2
435,16923.0,3417,12.0,362.0,7247,2
436,13953.0,2724,7.0,352.0,3515,2
437,13473.0,266,60.0,332.0,422,2
438,14088.0,12665,10.0,322.0,50491,2
439,17901.0,24,29.0,29.0,110,3
440,15097.0,170,4.0,4.0,248,3
441,15120.0,296,133.0,133.0,358,1
442,16422.0,33704,17.0,369.0,34684,2
443,15208.0,316,1.0,353.0,870,2
444,17381.0,25649,8.0,372.0,20275,2
445,18019.0,7,51.0,51.0,38,3
446,17580.0,88,252.0,358.0,215,0
447,13428.0,156,10.0,10.0,218,3
448,17890.0,416,322.0,361.0,602,0
449,17394.0,241,219.0,219.0,203,0
450,16112.0,574,143.0,338.0,195,2
451,14852.0,1747,58.0,252.0,2836,1
452,16229.0,318,87.0,212.0,1010,1
453,15355.0,45,29.0,53.0,277,3
454,13863.0,224,247.0,247.0,305,0
455,12902.0,66,264.0,264.0,138,0
456,13325.0,240,81.0,81.0,675,3
457,17941.0,252,130.0,130.0,304,1
458,15320.0,326,44.0,44.0,267,3
459,13431.0,672,67.0,88.0,1269,3
460,13159.0,1059,8.0,115.0,1437,3
461,17075.0,292,17.0,317.0,834,2
462,13466.0,259,184.0,184.0,307,1
463,13504.0,178,64.0,64.0,295,3
464,14907.0,1691,3.0,367.0,3501,2
465,17102.0,2,261.0,261.0,25,0
466,16354.0,150,63.0,73.0,395,3
467,17957.0,287,66.0,66.0,111,3
468,14389.0,729,65.0,190.0,1043,1
469,13285.0,2051,23.0,290.0,2709,2
470,14298.0,58343,8.0,360.0,51527,2
471,13645.0,158,120.0,120.0,252,1
472,13015.0,1617,53.0,249.0,3346,1
473,15153.0,198,31.0,31.0,329,3
474,15974.0,2262,39.0,288.0,3442,2
475,14565.0,1540,95.0,361.0,3099,2
476,16250.0,208,261.0,373.0,389,0
477,16457.0,140,218.0,218.0,208,0
478,16791.0,763,29.0,332.0,1721,2
479,16669.0,888,23.0,78.0,1374,3
480,14863.0,132,29.0,29.0,266,3
481,14549.0,136,311.0,311.0,289,0
482,15696.0,1028,33.0,326.0,2736,2
483,14459.0,760,155.0,155.0,1837,1
484,16043.0,503,37.0,317.0,773,2
485,18167.0,382,23.0,105.0,1384,3
486,15492.0,483,28.0,74.0,659,3
487,17734.0,422,53.0,233.0,700,1
488,17571.0,905,50.0,298.0,1498,2
489,13563.0,209,84.0,140.0,777,1
490,15950.0,729,31.0,359.0,1765,2
491,15067.0,954,78.0,282.0,1744,2
492,16670.0,2556,16.0,358.0,4095,2
493,17436.0,90,1.0,226.0,216,1
494,14935.0,935,297.0,297.0,1784,0
495,14093.0,406,12.0,12.0,442,3
496,13704.0,1531,5.0,88.0,2308,3
497,15607.0,202,336.0,336.0,104,0
498,16744.0,805,11.0,173.0,1304,1
499,16967.0,333,189.0,189.0,319,1
500,17888.0,980,21.0,357.0,726,2
501,13659.0,894,205.0,320.0,1573,0
502,12524.0,3699,9.0,333.0,4485,2
503,14669.0,775,241.0,332.0,1269,0
504,13748.0,439,95.0,373.0,948,2
505,14782.0,114,319.0,319.0,200,0
506,12756.0,144,86.0,86.0,112,3
507,13562.0,757,81.0,245.0,1799,1
508,13888.0,258,119.0,218.0,605,1
509,14401.0,4507,4.0,359.0,4051,2
510,14633.0,96,266.0,266.0,344,0
511,15522.0,573,32.0,87.0,398,3
512,15179.0,1938,18.0,319.0,2206,2
513,14299.0,2149,8.0,365.0,3965,2
514,16566.0,362,15.0,292.0,614,2
515,12840.0,1511,143.0,226.0,2726,1
516,17118.0,154,317.0,317.0,157,0
517,14622.0,146,184.0,184.0,320,1
518,12617.0,213,29.0,29.0,355,3
519,12792.0,217,256.0,256.0,400,0
520,12650.0,254,3.0,3.0,314,3
521,12681.0,7536,14.0,367.0,13787,2
522,12735.0,368,315.0,337.0,779,0
523,15370.0,830,40.0,332.0,2386,2
524,14180.0,719,10.0,372.0,4748,2
525,13458.0,5508,7.0,359.0,9646,2
526,13059.0,35,249.0,249.0,183,0
527,17561.0,146,19.0,19.0,167,3
528,17534.0,103,53.0,53.0,223,3
529,13029.0,134,30.0,353.0,1247,2
530,12875.0,2019,143.0,362.0,343,2
531,13898.0,133,325.0,325.0,155,0
532,15815.0,1856,63.0,259.0,2100,1
533,13249.0,546,92.0,261.0,711,1
534,12674.0,1133,38.0,207.0,1970,1
535,15845.0,1926,17.0,337.0,3711,2
536,14905.0,287,157.0,233.0,616,1
537,15562.0,39,351.0,351.0,134,0
538,12566.0,265,86.0,86.0,351,3
539,14248.0,102,318.0,318.0,302,0
540,15074.0,455,105.0,105.0,748,3
541,13742.0,1124,16.0,320.0,3131,2
542,17105.0,693,159.0,306.0,665,0
543,13266.0,4428,11.0,256.0,3834,2
544,12361.0,91,287.0,287.0,189,0
545,16500.0,123,4.0,330.0,400,2
546,17540.0,194,24.0,316.0,578,2
547,15002.0,862,115.0,367.0,1641,2
548,16233.0,174,71.0,366.0,536,2
549,13669.0,237,50.0,149.0,218,1
550,15125.0,6193,25.0,270.0,11528,2
551,17443.0,504,219.0,219.0,534,0
552,15281.0,1211,58.0,333.0,2332,2
553,16805.0,539,173.0,360.0,460,0
554,13524.0,324,40.0,219.0,680,1
555,16976.0,88,267.0,267.0,251,0
556,13008.0,175,323.0,323.0,229,0
557,14054.0,62,65.0,65.0,92,3
558,15062.0,763,71.0,359.0,987,2
559,18217.0,491,29.0,70.0,621,3
560,17590.0,828,2.0,40.0,1479,3
561,16455.0,988,63.0,371.0,1841,2
562,13323.0,175,3.0,84.0,787,3
563,16368.0,260,2.0,28.0,497,3
564,13637.0,409,52.0,226.0,810,1
565,17364.0,2701,0.0,331.0,4481,2
566,14418.0,1711,3.0,108.0,1937,3
567,14364.0,1967,108.0,211.0,3717,1
568,13450.0,1982,26.0,218.0,2043,1
569,16482.0,346,15.0,15.0,220,3
570,16515.0,833,52.0,311.0,1627,2
571,17676.0,932,4.0,366.0,1387,2
572,16317.0,890,119.0,297.0,1341,2
573,16509.0,64,296.0,296.0,363,0
574,16843.0,10159,42.0,327.0,10196,2
575,17201.0,268,53.0,53.0,342,3
576,14578.0,240,3.0,3.0,168,3
577,13081.0,19068,11.0,371.0,28337,2
578,14178.0,1505,8.0,182.0,1620,1
579,16781.0,113,372.0,372.0,311,0
580,15464.0,350,338.0,338.0,1048,0
581,13560.0,64,7.0,7.0,174,3
582,17047.0,533,85.0,205.0,1100,1
583,15372.0,2924,137.0,137.0,2007,1
584,13901.0,1739,72.0,318.0,2867,2
585,12683.0,4987,4.0,365.0,8476,2
586,14216.0,594,3.0,37.0,1839,3
587,14619.0,152,245.0,245.0,394,0
588,16106.0,74,65.0,65.0,108,3
589,12702.0,53,19.0,19.0,219,3
590,13108.0,298,372.0,372.0,350,0
591,16732.0,317,31.0,31.0,603,3
592,17324.0,844,17.0,366.0,990,2
593,17411.0,306,12.0,261.0,778,2
594,14643.0,815,170.0,358.0,693,0
595,17787.0,910,152.0,371.0,1865,2
596,15059.0,604,40.0,334.0,1337,2
597,17675.0,8360,1.0,367.0,20374,2
598,17230.0,1651,264.0,359.0,3638,0
599,18268.0,2,134.0,134.0,25,1
600,16030.0,283,309.0,309.0,331,0
601,15245.0,1784,134.0,261.0,2515,1
602,13647.0,895,9.0,234.0,1678,1
603,14673.0,1004,3.0,367.0,1736,2
604,17613.0,2496,22.0,305.0,4559,2
605,15428.0,102,15.0,15.0,93,3
606,16529.0,198,190.0,190.0,455,1
607,15743.0,216,16.0,184.0,784,1
608,13373.0,1651,60.0,276.0,3312,2
609,17736.0,238,9.0,113.0,377,3
610,13689.0,512,63.0,63.0,910,3
611,17423.0,459,46.0,217.0,698,1
612,14232.0,1941,42.0,264.0,2048,2
613,15835.0,439,44.0,330.0,954,2
614,14752.0,260,43.0,43.0,389,3
615,15645.0,256,18.0,18.0,612,3
616,14639.0,1431,52.0,361.0,2984,2
617,17456.0,222,365.0,365.0,249,0
618,17846.0,1,85.0,85.0,2033,3
619,17418.0,289,42.0,323.0,463,2
620,12824.0,232,59.0,59.0,397,3
621,14687.0,470,106.0,106.0,628,3
622,12766.0,3646,3.0,366.0,6989,2
623,14770.0,490,232.0,323.0,876,0
624,17816.0,30,36.0,365.0,36,2
625,15203.0,1753,25.0,311.0,1827,2
626,17722.0,1595,96.0,366.0,2424,2
627,12403.0,96,49.0,49.0,427,3
628,14056.0,4273,1.0,284.0,8214,2
629,17341.0,489,156.0,366.0,781,2
630,13583.0,725,155.0,155.0,781,1
631,13169.0,272,63.0,252.0,712,1
632,17980.0,682,165.0,359.0,811,0
633,16109.0,612,218.0,308.0,611,0
634,16804.0,246,23.0,270.0,536,2
635,14239.0,993,43.0,316.0,2380,2
636,18240.0,126,46.0,46.0,422,3
637,13741.0,218,71.0,217.0,668,1
638,12723.0,434,3.0,65.0,725,3
639,14098.0,104,36.0,36.0,147,3
640,13230.0,1665,4.0,365.0,2806,2
641,17483.0,191,65.0,183.0,414,1
